partie_id,score_final,temps_jeu,nb_tours,level_max,full_lines,score_ratio,efficiency,nb_rotations,nb_left,nb_right,nb_drop,nb_none,rot_par_tour,drop_par_tour
1,0,0,22,1,1,1,0,12,13,26,7,245,0.55,0.32
2,603,296,46,1,8,13,2,56,73,105,39,313,1.22,0.85
3,2316,522,93,2,24,24,0,84,141,171,85,556,0.9,0.91
4,2184,910,118,3,35,18,0,146,129,214,100,1016,1.24,0.85
5,1175,1190,92,2,23,12,-1,114,135,193,63,704,1.24,0.68
6,2084,1432,105,3,32,19,0,121,129,167,97,803,1.15,0.92
7,99,1529,23,1,0,4,-1,7,75,63,12,182,0.3,0.52
8,86,1637,26,1,0,3,-1,23,79,107,12,224,0.88,0.46
9,239,1903,50,1,9,4,-1,42,78,100,13,608,0.84,0.26
10,25,1775059220,11,1,0,2,4,2,0,2,10,26,0.18,0.91
11,40,1775062032,21,2,0,1,0,10,23,21,6,218,0.48,0.29
12,74,1775113857,39,1,4,1,-1,46,58,82,11,410,1.18,0.28
13,100,1775121193,45,1,5,2,-1,48,77,99,0,397,1.07,0.0
14,41,1775121368,43,1,3,0,-2,47,87,96,0,412,1.09,0.0
15,216,1775121421,24,9,0,8,-1,13,40,48,0,290,0.54,0.0
16,262,1775121484,27,9,1,9,-2,24,31,57,0,326,0.89,0.0
17,172,1775121537,17,9,1,9,-1,17,19,23,0,220,1.0,0.0
18,162,1775121571,18,9,0,8,-2,14,28,15,0,141,0.78,0.0
19,26,1775115396,12,2,0,2,0,5,3,5,1,131,0.42,0.08
20,0,0,12,9,0,8,-1,9,8,22,0,144,0.75,0.0
21,0,0,17,9,0,8,-4,24,36,35,0,200,1.41,0.0
22,213,1775121727,28,7,1,7,-1,37,49,48,0,314,1.32,0.0
23,837,1775121952,86,2,20,9,-4,87,162,201,64,575,1.01,0.74
24,0,0,32,2,2,3,-1,28,40,68,9,355,0.88,0.28
25,0,0,35,1,2,2,-1,37,65,73,12,330,1.06,0.34
26,586,1775122332,39,4,3,14,-2,45,59,66,27,362,1.15,0.69
27,501,1775122419,42,3,3,11,-1,40,68,90,29,342,0.95,0.69
28,570,1775122587,60,2,11,9,-1,77,115,141,46,495,1.28,0.77
29,620,1775122708,51,2,6,12,0,42,91,107,39,350,0.82,0.76
30,0,0,12,1,0,0,-1,24,4,0,0,112,2.0,0.0
31,0,0,44,1,2,6,0,36,68,102,31,261,0.82,0.7
32,0,0,1,1,0,0,0,2,3,0,0,11,2.0,0.0
33,0,0,4,1,0,4,10,0,4,2,3,26,0.0,0.75
34,0,0,47,1,7,4,1,56,85,102,40,312,1.19,0.85
35,767,1775123170,69,1,15,11,-1,104,115,160,57,538,1.51,0.83
36,0,0,32,2,6,15,1,46,54,66,24,312,1.44,0.75
37,1207,1775123639,99,2,28,12,-1,80,147,181,65,1107,0.81,0.66
38,0,0,12,4,2,1,-3,15,13,18,0,196,1.25,0.0
39,0,0,1,1,0,0,0,2,0,1,0,12,2.0,0.0
40,60,1775116728,30,1,1,2,0,28,39,41,12,315,0.93,0.4
41,38,1775116882,35,1,4,1,-1,26,43,42,17,391,0.74,0.49
42,49,1775116957,13,1,0,3,3,2,3,3,12,63,0.15,0.92
43,334,1775117163,64,1,11,5,-1,83,125,161,53,497,1.3,0.83
44,72,1775117316,24,3,0,2,-1,18,47,39,0,280,0.75,0.0
45,70,1775117413,24,2,0,2,1,25,30,59,8,269,1.04,0.33
46,107,1775117516,25,1,0,4,2,30,32,54,17,225,1.2,0.68
47,66,1775117620,22,1,0,2,0,14,12,36,7,215,0.64,0.32
48,87,1775117755,35,1,3,2,-1,30,33,58,17,362,0.86,0.49
49,0,0,23,1,0,1,-1,24,23,26,7,242,1.04,0.3
50,112,1775118050,50,2,7,2,-1,33,128,135,2,559,0.66,0.04
51,142,1775118227,46,1,6,3,-1,49,61,87,25,387,1.07,0.54
52,0,0,29,2,1,1,-1,30,47,84,0,350,1.03,0.0
53,0,0,44,1,4,1,-1,44,72,123,0,419,1.0,0.0
54,174,1775119685,11,2,0,15,1,0,4,0,7,30,0.0,0.64
55,315,1775120082,91,2,24,3,-1,81,151,227,0,980,0.89,0.0
56,44,1775121437,15,1,0,2,1,10,3,26,9,130,0.67,0.6
57,69,1775121906,28,1,1,2,-1,25,25,45,6,281,0.89,0.21
